Percentile,Threshold,Volume,Volume_Percentage,Conversion_Rate,Lift,Conversions_Captured,Capture_Rate,Efficiency_Ratio
Top_5%,0.8575,3,5.0,0.3333,0.6897,1,0.0345,6.6667
Top_10%,0.7921,6,10.0,0.6667,1.3793,4,0.1379,6.6667
Top_20%,0.6739,12,20.0,0.6667,1.3793,8,0.2759,3.3333
Top_30%,0.5246,18,30.0,0.6111,1.2644,11,0.3793,2.037
Top_40%,0.3764,24,40.0,0.625,1.2931,15,0.5172,1.5625
Top_50%,0.3058,30,50.0,0.6,1.2414,18,0.6207,1.2
Top_60%,0.2556,36,60.0,0.6111,1.2644,22,0.7586,1.0185
Top_70%,0.1976,42,70.0,0.5714,1.1823,24,0.8276,0.8163
Top_80%,0.1494,48,80.0,0.5417,1.1207,26,0.8966,0.6771
Top_90%,0.0989,54,90.0,0.5185,1.0728,28,0.9655,0.5761
